id,province,city,county,town,village
110102007030,北京市,市辖区,西城区,月坛街道,白云观社区居委会
110102007032,北京市,市辖区,西城区,月坛街道,真武庙社区居委会
110102007033,北京市,市辖区,西城区,月坛街道,广电总局住宅区第二社区居委会
110102007034,北京市,市辖区,西城区,月坛街道,西便门社区居委会
110102007035,北京市,市辖区,西城区,月坛街道,铁道部住宅区第二、一社区居委会
110102007037,北京市,市辖区,西城区,月坛街道,广电总局住宅区第一社区居委会
110102007038,北京市,市辖区,西城区,月坛街道,汽车局河南社区居委会
110102007039,北京市,市辖区,西城区,月坛街道,汽车局河北社区居委会
110102007043,北京市,市辖区,西城区,月坛街道,公安住宅区社区居委会
110102007045,北京市,市辖区,西城区,月坛街道,铁道部住宅区第四社区居委会
110102007048,北京市,市辖区,西城区,月坛街道,三里河社区居委会
110102009001,北京市,市辖区,西城区,展览路街道,文兴街社区居委会
110102009002,北京市,市辖区,西城区,展览路街道,朝阳庵社区居委会
110102009005,北京市,市辖区,西城区,展览路街道,三塔社区居委会
110102009008,北京市,市辖区,西城区,展览路街道,新华南社区居委会
110102009009,北京市,市辖区,西城区,展览路街道,百万庄东社区居委会
110102009011,北京市,市辖区,西城区,展览路街道,百万庄西社区居委会
110102009013,北京市,市辖区,西城区,展览路街道,车公庄社区居委会
110102009014,北京市,市辖区,西城区,展览路街道,新华东社区居委会
110102009016,北京市,市辖区,西城区,展览路街道,新华里社区居委会
110102009017,北京市,市辖区,西城区,展览路街道,榆树馆社区居委会
110102009020,北京市,市辖区,西城区,展览路街道,德宝社区居委会
110102009023,北京市,市辖区,西城区,展览路街道,团结社区居委会
110102009026,北京市,市辖区,西城区,展览路街道,北营房西里社区居委会
110102009028,北京市,市辖区,西城区,展览路街道,北营房东里社区居委会
110102009031,北京市,市辖区,西城区,展览路街道,黄瓜园社区居委会
110102009032,北京市,市辖区,西城区,展览路街道,露园社区居委会
110102009035,北京市,市辖区,西城区,展览路街道,阜外西社区居委会
110102009036,北京市,市辖区,西城区,展览路街道,洪茂沟社区居委会
110102009038,北京市,市辖区,西城区,展览路街道,阜外东社区居委会
110102009039,北京市,市辖区,西城区,展览路街道,南营房社区居委会
110102009041,北京市,市辖区,西城区,展览路街道,万明园社区居委会
110102009042,北京市,市辖区,西城区,展览路街道,滨河社区居委会
110102009043,北京市,市辖区,西城区,展览路街道,扣钟社区居委会
110102010002,北京市,市辖区,西城区,德胜街道,安德路南社区居委会
110102010005,北京市,市辖区,西城区,德胜街道,安德路北社区居委会
110102010011,北京市,市辖区,西城区,德胜街道,德胜里社区居委会
110102010013,北京市,市辖区,西城区,德胜街道,德外大街西社区居委会
110102010017,北京市,市辖区,西城区,德胜街道,新明家园社区居委会
110102010019,北京市,市辖区,西城区,德胜街道,新风中直社区居委会
110102010021,北京市,市辖区,西城区,德胜街道,新外大街北社区居委会
110102010022,北京市,市辖区,西城区,德胜街道,新康社区居委会
110102010024,北京市,市辖区,西城区,德胜街道,马甸社区居委会
110102010025,北京市,市辖区,西城区,德胜街道,人定湖西里社区居委会
